entity,code,2016,prevalenceofoverweight,region
Oman,OMN,2016,56,Asien
Pakistan,PAK,2016,26.20000076293945,Asien
Palau,PLW,2016,84.40000152587891,Ozeanien
Panama,PAN,2016,58.5,Südamerika
Papua New Guinea,PNG,2016,49.29999923706055,Ozeanien
Paraguay,PRY,2016,50.90000152587891,Südamerika
Peru,PER,2016,56.29999923706055,Südamerika
Philippines,PHL,2016,26.10000038146973,Asien
Poland,POL,2016,62.40000152587891,Europa
Portugal,PRT,2016,62.29999923706055,Europa
Qatar,QAT,2016,70.30000305175781,Asien
Romania,ROU,2016,61.40000152587891,Europa
Russia,RUS,2016,61.09999847412109,Europa
Rwanda,RWA,2016,22,Afrika
Saint Kitts and Nevis,KNA,2016,52.70000076293945,Südamerika
Saint Lucia,LCA,2016,48.29999923706055,Südamerika
Saint Vincent and the Grenadines,VCT,2016,55,Südamerika
Samoa,WSM,2016,75.09999847412109,Ozeanien
Sao Tome and Principe,STP,2016,31.60000038146973,Afrika
Saudi Arabia,SAU,2016,69,Asien
Senegal,SEN,2016,24.89999961853027,Afrika
Serbia,SRB,2016,60.70000076293945,Europa
Seychelles,SYC,2016,38.09999847412109,Afrika
Sierra Leone,SLE,2016,24.89999961853027,Afrika
Singapore,SGP,2016,33.59999847412109,Asien
Slovakia,SVK,2016,59.70000076293945,Europa
Slovenia,SVN,2016,60.70000076293945,Europa
Solomon Islands,SLB,2016,51.29999923706055,Ozeanien
Somalia,SOM,2016,24.70000076293945,Afrika
South Africa,ZAF,2016,51.90000152587891,Afrika
South Korea,KOR,2016,32.09999847412109,Asien
Spain,ESP,2016,67.19999694824219,Europa
Sri Lanka,LKA,2016,24.20000076293945,Asien
Sudan,,2016,25.70000076293945,Afrika
Suriname,SUR,2016,59,Südamerika
Swaziland,SWZ,2016,33,Afrika
Sweden,SWE,2016,59.90000152587891,Europa
Switzerland,CHE,2016,57.90000152587891,Europa
Syria,SYR,2016,57.90000152587891,Asien
Tajikistan,TJK,2016,41.70000076293945,Asien
Tanzania,TZA,2016,24.5,Afrika
Thailand,THA,2016,34.70000076293945,Asien
Timor,TLS,2016,17.89999961853027,Asien
Togo,TGO,2016,25,Afrika
Tonga,TON,2016,75.59999847412109,Ozeanien
Trinidad and Tobago,TTO,2016,48.09999847412109,Südamerika
Tunisia,TUN,2016,62.20000076293945,Afrika
Turkey,TUR,2016,66.90000152587891,Asien
Turkmenistan,TKM,2016,49.59999847412109,Asien
Tuvalu,TUV,2016,81,Ozeanien
Uganda,UGA,2016,19,Afrika
Ukraine,UKR,2016,61.90000152587891,Europa
United Arab Emirates,ARE,2016,65.90000152587891,Asien
UK,GBR,2016,67.19999694824219,Europa
USA,USA,2016,70.19999694824219,Nordamerika
Uruguay,URY,2016,64.5,Südamerika
Uzbekistan,UZB,2016,45.70000076293945,Asien
Vanuatu,VUT,2016,54.09999847412109,Ozeanien
Venezuela,VEN,2016,62.59999847412109,Südamerika
Vietnam,VNM,2016,18.29999923706055,Asien
Yemen,YEM,2016,42.29999923706055,Asien
Zambia,ZMB,2016,23.89999961853027,Afrika
Zimbabwe,ZWE,2016,32.40000152587891,Afrika
